no;isocode;flfp2000;female_ownership;women_politics;plow;agricultural_suitability;tropical_climate;large_animals;political_hierarchies;economic_complexity;ln_income;ln_income_squared;year_obs;plow_aborigenal;hunting;husbandry;terrain_slope;soil_depth;avg_temperature;avg_precipitation;country;communist_dummy;continent;rugged;european_descent;cath00;prot00;othchrist00;muslim00;hindu00;trade_GDP;years_civil_conflict;years_interstate_conflict;agr_va_gdp2000;man_va_gdp2000;serv_va_gdp2000;polity2_2000;plow_negative_crops;plow_positive_crops;region;intensity_agriculture;abs_inherit;matrilocal;patrilocal;nuclear_fam;extended_fam;oil_pc;terrslope2;soil2;avg_temp2;avg_precip2;slope_soil;slope_temp;slope_precip;soil_temp;soil_precip;temp_precip;centered_ln_inc;centered_ln_incsq
11;ASM;NA;NA;NA;0;0;NA;1;3;7;NA;NA;1920;0;0.025;0.100000001;NA;1;NA;NA;American Samoa;0;Oceania;2.646809561;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Oceania;0;NA;0;0;0;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;ATG;NA;21.3;NA;0;0.829846583;1;1;4;7;9.090559006;82.63825989;1950;0;0.025;0.100000001;4.821624924;0.89267946;26.35104179;96.39250183;Antigua and Barbuda;0;North America;0.006226358;NA;0.115000002;0.64200002;0.177000001;0.004;0.001;69.11000061;0;0;3.93;2.26;76.3;NA;0.631516516;0;North America;0;0;0;1;0;1;0;23.24806786;0.796876609;694.3773804;9291.514648;4.304165363;127.0548401;464.7684937;23.52303314;86.04760742;2540.042725;1.519958686;2.310274406
13;AUS;54.6;NA;22;0;0.41929801;1;0;1.008231282;1;9.945919037;98.9213028;1912.656128;0;0.307021946;0.025;2.941860577;0.872326751;19.99802024;73.06922078;Australia;0;Oceania;0.14333531;89.95449829;0.25999999;0.321999997;0.178000003;0.012;0.003;32.47999954;4;21;3.51;13.19;69.58;10;0.470514059;0.16070354;Oceania;0;1;0;1;0.818250418;0.105767764;0.042460091;8.654543877;0.760953963;399.9208069;5339.11084;2.566263676;58.83138657;214.9594574;17.44480896;63.74023438;1461.239746;2.375318717;5.642139007
14;AUT;48.9;NA;27;1;0.805224854;0.00122551;1;4.000132561;7.049188137;10.09389496;101.8867188;1949.574707;1;0.025;0.302252382;5.915152864;0.956966679;9.313429327;71.96578555;Austria;0;Europe;3.513180563;98.40000153;0.754999995;0.050000001;0.072999999;0.022;0;73.27999878;6;11;2.04;20.57;67.18;10;0.05477928;0.956046581;Europe;1;0;0;0.079139985;0.000132436;0.999867558;0;34.98903275;0.915785253;86.73996735;5179.074219;5.660604;55.09035873;425.6886292;8.912641525;68.86885834;670.24823;2.523294639;6.367015833
15;AZE;57.2;10.8;12;0.102243513;0.314116894;0.960969007;1;3.118499041;1.548618793;6.484792233;42.0525322;1938.83252;0.102243513;0.092331737;0.753451288;33.28675268;0.617351347;17.45076901;14.72733773;Azerbaijan;1;Asia;1.671540745;4;0.001;0;0.001;0.837000012;0;55.31999969;3;2;17.14;5.64;37.52;-7;0.230246425;0.885131419;Asia;0.087483592;0;0;1;0.913967073;0.086032942;0.035974786;1108.007935;0.381122679;304.5293274;216.8944702;20.54962158;580.8794556;490.2252502;10.77325535;9.091941833;257.0033569;-1.085808087;1.178979203
16;BDI;90.5;34.8;6;0;0.626775767;1;1;3.991792202;5.009321213;4.694286823;22.03632927;1910.281738;0;0.026369246;0.300354719;21.5783163;0.992012633;19.80880006;98.54551167;Burundi;0;Africa;1.779704232;0;0.572000027;0.194999993;0.150000006;0.014;0.001;27.92000008;15;0;40.4;8.66;40.81;-1;0.640070915;0.134742305;Sub-Saharan Africa;1;0;0;1;0;0.003547213;0;465.6237488;0.984089077;392.3885498;9711.217773;21.40596199;427.4405518;2126.446289;19.65057945;97.75839233;1952.068359;-2.876313497;8.273179331
17;BEL;43.5;NA;23;1;0.872731204;0;1;4.487379074;7;10.0267334;100.5353851;1950;1;0.025;0.300000012;7.640085497;0.860619988;9.363441017;73.63030145;Belgium;0;Europe;0.387796867;97.99999237;0.809000015;0.013;0.055;0.035999998;0;157.4600067;4;9;1.38;19.27;71.6;10;0.060424332;0.962208688;Europe;1;0;0;0;0.487379223;0.512620747;0;58.37090683;0.740666747;87.67402649;5421.421387;6.575210094;71.53749084;562.5418091;8.058364868;63.36771011;689.4329834;2.456133078;6.032589699
18;BEN;63.9;43.9;6;0;0.892457684;1;1;2.865875483;7.293136597;5.747175694;33.0300293;1911.417603;0;0.10669107;0.151448965;5.37258308;0.86848606;26.34290844;88.18728099;Benin;1;Africa;0.14114122;0;0.208000004;0.037999999;0.034000002;0.200000003;0;44.56999969;0;0;36.53;8.77;49.58;6;0.651639581;2.46E-06;Sub-Saharan Africa;0.161919832;0;0;0.996892691;0;0.625035882;0;28.86464882;0.75426805;693.9488525;7776.996582;4.666013718;141.5294647;473.7934875;22.87844849;76.58942413;2323.109375;-1.823424626;3.324877368
19;BFA;77.5;19.2;8;0;0.931313601;1;1;2.989207029;5.528087616;5.439475536;29.58789444;1912.514038;0;0.083777212;0.204890013;5.663634207;0.794998713;27.29560054;81.77202058;Burkina Faso;0;Africa;0.236461331;0;0.094999999;0.064999998;0.005;0.486000001;0;31.40999985;0;0;28.99;16.17;46.6;-3;0.654904187;0;Sub-Saharan Africa;0.17039457;0;0;0.99322623;0.009022891;0.44121021;0;32.07675171;0.632022977;745.0498047;6686.663574;4.502582073;154.5923004;463.1268005;21.69996643;65.00865173;2232.016357;-2.131124784;4.541692843
20;BGD;54.7;16.1;9;0.931649029;0.58782527;1;0.996247768;4.237823963;6.988743305;5.900801182;34.81945419;1935.916626;0.899787664;0.034076933;0.191645309;6.85151178;0.908223295;25.38610518;143.6459986;Bangladesh;0;Asia;0.186410457;0;0.002;0.001;0;0.856999993;0.123000003;32.40999985;0;0;25.51;15.23;49.2;6;0.603983402;0.429106593;Asia;0.899787664;0.037705183;0.045314696;0.946290851;0.059536953;0.936710835;0;46.94321442;0.824869573;644.4543457;20634.17383;6.222702503;173.933197;984.1922607;23.05625153;130.4626465;3646.612549;-1.669799138;2.788229162
21;BGR;47.7;33.9;11;1;0.762416387;0.085381482;1;3.950327635;6.950368404;7.35449028;54.08852768;1939.350586;1;0.026875526;0.213397354;21.48329089;0.885667292;10.88552318;43.38310499;Bulgaria;1;Europe;1.479474566;98.84999847;0.011;0.012;0.072999999;0.119000003;0;88.30999756;1;13;14.22;18.14;55.11;8;0.496440589;0.974608779;Europe;1;0;0;0.999658227;0.000794542;0.99920547;0;461.5317993;0.784406543;118.4946136;1882.09375;19.02704811;233.8568573;932.0118408;9.64095211;38.42299652;472.2478027;-0.21611004;0.046703549
22;BHR;33.8;NA;NA;1;0.013626214;1;1;4;7;9.381011963;88.00338745;704.2146606;1;0.025;0.268461138;22.99024302;0.504868729;21.9149534;20.26388074;Bahrain;0;Asia;0.231363026;0;0.041000001;0.013;0.046999998;0.824000001;0.063000001;135.8500061;0;0;NA;NA;NA;-9;0.124884643;0.659871578;Asia;1;0;0;0.68461132;0.315388709;0.68461132;0;528.5512695;0.254892439;480.2651672;410.6248779;11.60705471;503.8301086;465.8715515;11.06417465;10.2305994;444.0820007;1.810411643;3.277590317
23;BHS;66.8;58.3;15;0;0.901672241;1;1;2;7;9.717184067;94.42366791;1920;0;0.025;0.200000003;8.342840166;0.681942544;27.38551521;96.5625;Bahamas, The;0;North America;0.055335133;NA;0.156000003;0.634000003;0.130999997;0;0;47.93999863;0;0;2.02;5.39;78.67;NA;0.654365897;0;North America;1;0;0;1;0;1;0;69.60298157;0.465045631;749.9664307;9324.316406;5.68933773;228.4729767;805.6055298;18.67534828;65.85007477;2644.413818;2.146583747;4.607821782
24;BIH;56.1;32.8;29;1;0.806910181;0.02569381;1;3.992898941;7.989348412;7.179498672;51.54520035;1949.82251;1;0.025266288;0.399289906;22.38615389;0.889492333;10.81610653;64.40234559;Bosnia and Herzegovina;1;Europe;2.311480113;100;0.172000006;0.001;0.001;0.600000024;0;75.83999634;4;1;10.98;10.48;65.13;NA;0.425158143;0.974439085;Europe;1;0;0;1;0;1;0;501.1398926;0.791196585;116.9881592;4147.662109;19.91231155;242.1310272;1441.720825;9.620843887;57.28539276;696.5826416;-0.391101648;0.152960499
25;BLR;53.1;52.9;5;1;0.965516625;0;1;4.998621941;7;7.149169922;51.11063004;1910.066895;1;0.025;0.300055742;5.388992058;0.99241256;5.248013101;59.94512463;Belarus;1;Europe;0.164298869;100;0.131999999;0.013;0.071000002;0.003;0;125.4000015;0;0;14.15;31.64;46.68;-7;0.071773626;0.978894651;Europe;1;0.000267763;0;0.002332288;0.000267763;0.999732256;0;29.04123497;0.984882712;27.54164124;3593.417969;5.348103523;28.28150177;323.0437927;5.208194256;59.49029541;314.592804;-0.421430398;0.17760358
26;BLZ;39.6;30.4;7;0.353427112;0.60473753;0.914281724;0.724026024;3.276803493;7.265300751;8.110686302;65.78323364;1834.20813;0.353427112;0.045698047;0.149987385;12.20706566;0.736791652;21.37876537;96.73930128;Belize;0;North America;0.607033325;39.91040039;0.568000019;0.208000004;0.133000001;0.006;0.023;89.16999817;0;0;16.75;10.87;62.06;NA;0.498244524;0.360572785;North America;0.353427112;0;0;0.635899842;0.623970628;0.376029402;0;149.0124512;0.542861938;457.0516052;9358.492188;8.994064331;260.9719849;1180.902954;15.75169563;71.27671051;2068.166748;0.540085982;0.291692868
27;BMU;NA;NA;NA;1;0.884332925;0;1;4;8;NA;NA;1920;1;0.025;0.300000012;16.31428571;0.983374896;8.232592583;89.7375946;Bermuda;0;North America;0.014543635;NA;0.142000005;0.596000016;0.187999994;0;0;21.97999954;NA;NA;NA;NA;NA;NA;0.431491762;0.833324432;North America;1;0;0;0;1;0;0;266.1559143;0.967026174;67.77558136;8052.835938;16.0430584;134.3088684;1464.004761;8.09572506;88.24569702;738.7730713;NA;NA
28;BOL;59.9;41.3;12;0.443273306;0.418232022;1;0.842000067;3.920569181;6.566966057;6.917472839;47.85142899;1771.804443;0;0.080962956;0.22017765;20.95912441;0.697919618;15.89246768;106.7522677;Bolivia;0;South America;0.852611613;26.73249817;0.860000014;0.048999999;0.032000002;0;0;36.43999863;4;9;15.01;15.33;55.2;9;0.647265494;0.138424814;South America;0.386496097;0.443575531;0.023615744;0.912377834;0.41457957;0.527039468;0;439.2848816;0.48709178;252.5705261;11396.04688;14.62778378;333.0921936;2237.434082;11.09166527;74.50450134;1696.557007;-0.653127481;0.426575506
29;BRA;54.7;59.3;6;0.000121897;0.143990119;1;0.19574821;1.469680429;6.069850445;8.217954636;67.53477478;1942.118042;0.000121897;0.227428958;0.039094612;11.12654694;0.928071959;20.73228519;147.4950625;Brazil;0;South America;0.239774615;74.42976379;0.741999984;0.093000002;0.082000002;0.001;0;17.70000076;23;11;5.6;17.22;66.67;8;0.499712169;0.276505947;South America;0.000121897;0.54457432;0.071098097;0.801087856;0.640766859;0.230492413;0.007191485;123.8000488;0.861317575;429.8276367;21754.79297;10.32623577;230.6787415;1641.110718;19.24105263;136.8860321;3057.909668;0.647354316;0.41906761
30;BRB;64.1;43.5;11;0;0.829846583;1;1;4;7;NA;NA;1950;0;0.025;0.100000001;4.821624924;0.89267946;26.35104179;96.39250183;Barbados;0;North America;0.962554466;NA;0.041000001;0.601000011;0.326999992;0.008;0.003;55.81000137;0;0;4.29;6.36;79.38;NA;0.631516516;0;North America;0;0;0;1;0;1;0;23.24806786;0.796876609;694.3773804;9291.514648;4.304165363;127.0548401;464.7684937;23.52303314;86.04760742;2540.042725;NA;NA
31;BRN;55.2;NA;NA;0.877934754;0;1;1;2.48086381;7;9.468349457;89.64964294;1938.470581;0.740431845;0.03531272;0.200000003;16.66867073;0.71030044;25.23800953;245.9635777;Brunei Darussalam;0;Asia;0.519975297;NA;0.017000001;0.032000002;0.027000001;0.643999994;0.008;83.48000336;0;0;1.02;15.36;35.31;NA;NA;NA;Asia;0.740431845;0;0;0.877934754;0.137502909;0.862497091;0.593303978;277.844574;0.504526734;636.9571533;60498.08203;11.8397646;420.684082;4099.885742;17.92656898;174.7080383;6207.631348;1.897749137;3.601451786
32;BTN;36.9;31.3;2;0.999929011;0.14910723;1;1;3.706921339;5.29607296;6.683488369;44.66901779;1940.003052;0.999929011;0.041543227;0.409521878;36.46118784;0.376811114;8.675445784;142.132654;Bhutan;0;Asia;6.740055537;0;0;0.002;0.003;0.01;0.204999998;65.02999878;0;0;28.43;8.53;36.3;-10;0.334315956;0.713011205;Asia;0.684152663;0;0;1;0.315852195;0.684147835;0;1329.418213;0.141986609;75.26335907;20201.69141;13.73898125;316.3170471;5182.325195;3.269004345;53.55716324;1233.064087;-0.887111951;0.786967614
33;BWA;69.2;55.3;NA;0.060291138;0.726857913;1;0.882774651;2.731978893;6.269936085;8.166717529;66.69527435;1888.28064;0.060291138;0.134792536;0.348626345;14.02051759;0.868819388;20.23056895;45.16907269;Botswana;0;Africa;0.180680886;1.5;0.037;0.116999999;0.44600001;0.002;0.001;84.44000244;0;0;2.41;4.38;38.64;9;0.773379564;0.160360545;Sub-Saharan Africa;0.018832436;0.142411008;0;0.960488558;0.106661506;0.110821679;0;196.5749207;0.754847109;409.2759094;2040.245117;12.1812973;283.6430359;633.2937622;17.57670975;39.24376678;913.7960205;0.596117209;0.355355727
34;CAF;70.4;53.3;7;0.047275111;0.470962606;1;0.95982784;1.289418817;5.82849741;5.530405045;30.58538055;1915.316162;0;0.12870504;0.116717957;6.985900441;0.954182136;24.46484914;123.6898613;Central African Republic;0;Africa;0.196990411;0.600000024;0.184;0.143999994;0.351000011;0.156000003;0;28.97999954;0;0;53.15;6.97;31.03;5;0.603974223;0.040738016;Sub-Saharan Africa;2.18E-07;0;0;0.990797579;0;0.12109872;0;48.80280685;0.910463572;598.5288696;15299.18164;6.665821552;170.9089966;864.085083;23.34392166;118.0226593;3026.053711;-2.040195275;4.162396762
35;CAN;58.6;NA;21;0.97425133;0.811268971;0.000152737;0.977234721;3.943073273;7.634878159;10.05274963;101.0577774;1919.580566;0.97425133;0.034279734;0.267376184;15.92140698;0.881948269;6.692047716;90.13642212;Canada;0;North America;0.774901082;85.3299942;0.391000003;0.156000003;0.207000002;0.01;0.018999999;71.93000031;0;13;2.28;19.23;64.52;10;0.397532046;0.836842656;North America;0.97425133;0.004749772;0.008868529;0.013114111;0.978881955;0.01969202;0.087493196;253.4911957;0.777832747;44.78350449;8124.574707;14.04185772;106.546814;1435.098633;5.902040005;79.49565887;603.1972656;2.482149314;6.161065216
36;CCK;NA;NA;NA;1;0;1;1;3;7;NA;NA;1940;1;0.025;0.200000003;17.28689492;0.609459459;25.35208321;240.0537567;;NA;Oceania;0.014746776;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Oceania;1;0;0;1;0;1;NA;298.836731;0.371440828;642.7281494;57625.80469;10.5356617;438.2587891;4149.78418;15.45106697;146.3030396;6085.862793;NA;NA
37;CHE;57.7;NA;23;1;0.779484539;0.072392944;1;4.436066151;7;10.44140148;109.0228653;1881.226685;1;0.025;0.29276073;8.37871151;0.852175928;9.690869176;73.23472234;Switzerland;0;Europe;4.761174758;98.5;0.42899999;0.404000014;0.048999999;0.027000001;0.003;65.23000336;0;0;1.61;19.04;71.14;10;0.126386747;0.960662663;Europe;1;0;0;0;0.436065942;0.563934088;0;70.20280457;0.726203799;93.91294861;5363.324707;7.140136242;81.1969986;613.6126099;8.258325577;62.40886688;709.7081299;2.870801162;8.24149931
38;CHI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Channel Islands;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;CHL;35.7;29.6;11;0.153283238;0.234004129;0.999996423;0.999996424;1.031740308;6.159984112;8.492947578;72.13015747;1886.77832;0;0.025504533;0.215327695;11.46702073;0.904413708;13.37414193;27.37755638;Chile;1;South America;2.48054446;59.18950272;0.674000025;0.017000001;0.200000003;0;0;50.15000153;3;7;6.11;19.46;55.49;9;0.292357385;0.680981159;South America;0.846713185;0.00672234;0;0.999997318;0.00672234;0.993277669;0;131.492569;0.817964137;178.8676758;749.5305786;10.37093067;153.361557;313.9389954;12.09575748;24.76063728;366.1513367;0.922347258;0.850724465
40;CHN;70.9;NA;22;0.908716023;0.602402423;0.269681917;1;4.803751945;6.885794163;6.855600834;46.99926376;1917.770996;0.908716023;0.029832818;0.208007723;12.65925236;0.852337554;15.15668434;83.52176336;China;1;Asia;1.878043385;0;0.006;0.001;0.064000003;0.015;0;39.56999969;105;30;15.06;32.12;39.02;-7;0.502906978;0.848234236;Asia;0.967833757;0.02275826;1.07E-06;0.9031865;0.12699075;0.873009264;0.002563259;160.2566681;0.726479292;229.7250824;6975.884766;10.78995609;191.8722992;1057.32312;12.91861153;71.18873596;1265.912964;-0.714999486;0.511224265
41;CIV;49.2;61.9;NA;0;0.509976139;1;1;2.088047743;6.810267925;6.434490681;41.40267181;1911.176514;0;0.098659039;0.105952427;5.271128347;0.922667864;26.06817368;115.9248363;Cote d'Ivoire;0;Africa;0.223795235;0;0.148000002;0.050999999;0.123999998;0.300999999;0.001;64.05999756;3;0;24.22;21.68;50.93;4;0.628425479;0.000199072;Sub-Saharan Africa;0.090175234;0.156666234;0;0.84462297;0;0.717548847;0;27.78479385;0.851315975;679.5496826;13438.56738;4.863500595;137.4086914;611.0546875;24.05226517;106.9601212;3021.94873;-1.136109639;1.290745113
42;CMR;51.2;15.7;6;0.00576665;0.305758598;1;0.942445099;1.631164193;6.187499523;6.519389629;42.50244141;1918.163574;0;0.079697847;0.195261389;9.451692265;0.915180182;24.96993754;148.4121816;Cameroon;0;Africa;0.51484983;0;0.264999986;0.207000002;0.07;0.211999997;0;32.97000122;0;0;22.14;20.83;41.85;-4;0.621320069;0.053135265;Sub-Saharan Africa;0.096375093;0.545281649;0.000189703;0.993601739;2.81E-06;0.590293646;0.005732768;89.33448792;0.837554753;623.4978027;22026.17578;8.650001526;236.0081635;1402.746216;22.85199165;135.8238831;3705.843018;-1.051210691;1.105043916
43;COG;61.1;NA;12;0;0.158086405;1;0.976213336;1.715989351;6.991029263;6.842272758;46.81669617;1896.805908;0;0.103812881;0.093176566;9.015881169;0.975479793;23.67467423;126.4314424;Congo, Rep.;1;Africa;0.151815262;0;0.493000001;0.170000002;0.248999998;0.013;0;91.73999786;3;0;5.3;3.48;22.54;-6;0.762679577;0.149294674;Sub-Saharan Africa;0;0.000108295;0;0.292521536;0.854412615;0.045618806;0.0884967;81.28610992;0.951560855;560.4901733;15984.90918;8.794810295;213.4480438;1139.890869;23.0941658;123.3313141;2993.223145;-0.728327562;0.530461037
44;COK;NA;NA;NA;7.59E-05;0.884332925;0;0.000131547;2.000151873;5.000339031;NA;NA;1820.013672;7.59E-05;0.025;0.025025045;16.31428571;0.983374896;23.25719285;159.0030741;;NA;Oceania;0.960066223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.431491762;0.833324432;Oceania;7.59E-05;0;0;0.999924123;0.000131567;0.999868453;NA;266.1559143;0.967026174;540.8970337;25281.97852;16.0430584;379.4244995;2594.021484;22.87053871;156.3596344;3697.965088;NA;NA
45;COL;36.2;35.3;12;0;0.055218452;1;0.410681367;1.277525902;4.694290638;7.605849266;57.8489418;1928.351563;0;0.160054907;0.122086741;14.80078254;0.889905533;24.70877734;202.2970071;Colombia;0;South America;0.88523345;45.59999847;0.943000019;0.015;0.014;0.001;0;24.48999977;44;4;10.36;15.41;59.86;7;0.573087394;0.022391975;South America;0.125963673;0.321383923;0.167589933;0.233227015;0.541460216;0.347944498;0.017856544;219.0631714;0.791931868;610.5236816;40924.07813;13.17129803;365.7092285;2994.154053;21.98847771;180.0252228;4998.511719;0.035248946;0.001242488
46;COM;70.1;NA;NA;0;0.954285714;1;1;4;7;5.923355579;35.08613968;1930;0;0.025;0.200000003;7.386243386;0.972560976;25.37083244;96.0763855;Comoros;0;Africa;3.328363716;0;0.01;0.002;0.001;0.980000019;0;28.22999954;0;0;48.55;4.53;39.93;-1;0.655525386;0.004805403;Sub-Saharan Africa;0;0;0;1;0;0;0;54.55659103;0.94587487;643.6791382;9230.671875;7.183572292;187.3951416;709.6435547;24.67468071;93.44013977;2437.537842;-1.647244741;2.713415235
47;CPV;45.5;33.1;11;0;0.829846583;1;1;4;7;7.07267046;50.02266693;1950;0;0.025;0.100000001;4.821624924;0.89267946;26.35104179;96.39250183;Cape Verde;0;Africa;2.366629147;41.40000153;0.893999994;0.017999999;0.02;0.028000001;0;45.34999847;0;0;12;9.29;70.15;NA;0.631516516;0;Sub-Saharan Africa;0;0;0;1;0;1;0;23.24806786;0.796876609;694.3773804;9291.514648;4.304165363;127.0548401;464.7684937;23.52303314;86.04760742;2540.042725;-0.49792986;0.247934146
48;CRI;36.8;43.5;19;0;0.07924625;1;1;2.022147655;5.811889172;8.308661461;69.03385162;1949.021606;0;0.076892383;0.092661783;20.72855214;0.824451405;23.33397823;246.9930141;Costa Rica;0;North America;2.112266742;60.3900032;0.871999979;0.057999998;0.035999998;0;0;76.73999786;1;0;9.46;25.33;58.46;10;0.627343655;0;North America;0;0.658483505;0.097842924;0.308101535;0.594055533;0.405944467;0;429.6728821;0.679720104;544.4745483;61005.55078;17.08968353;483.6795959;5119.807617;19.23773193;203.6337433;5763.32959;0.738061141;0.544734248
